X_test,y_test,y_pred,y_pred_proba
13,0,0,0.33975822
15,0,0,0.19409809
18,0,0,0.32292396
20,0,0,0.11679134
21,0,0,0.2272328
22,0,0,0.31201893
26,0,2,0.06099411
30,1,1,0.79340076
35,0,0,0.40500236
40,1,0,0.27802336
52,0,0,0.007791359
53,0,0,0.007182603
54,0,0,0.17349604
67,0,1,0.76556236
69,0,0,0.15712826
70,0,0,0.4351413
73,0,0,0.00774677
78,0,0,0.19276237
88,0,0,0.21365692
93,0,0,0.008194198
104,0,0,0.1979163
107,0,0,0.20392
108,0,0,0.14177275
115,0,0,0.007180633
120,0,0,0.2901793
122,0,0,0.33397424
123,0,0,0.4150513
127,0,0,0.42131063
130,0,0,0.0075344406
132,0,0,0.36610425
134,0,0,0.3264384
137,1,1,0.78614485
141,0,0,0.4240145
143,1,1,0.7616565
144,0,0,0.17349955
148,0,1,0.44761142
149,0,1,0.58718336
152,0,0,0.14736944
158,1,1,0.6182703
159,1,0,0.3163034
164,0,0,0.0071386537
171,0,0,0.22377285
172,0,1,0.4983146
176,0,0,0.17066842
182,0,0,0.2023141
189,0,0,0.17706773
197,0,0,0.24179979
205,0,0,0.24128777
211,0,0,0.21484663
235,0,0,0.41613835
240,0,0,0.101403676
241,0,0,0.0071389484
245,0,0,0.023720643
248,0,0,0.2839777
249,0,0,0.38924116
253,0,1,0.7980797
254,0,0,0.2062472
257,0,0,0.34862468
258,1,1,0.7310565
267,0,0,0.024008712
270,0,0,0.20982909
272,0,0,0.27286887
276,0,0,0.29873294
278,1,1,0.74054086
280,0,0,0.23925897
287,0,0,0.09564572
294,1,1,0.46062228
295,1,0,0.38412252
302,0,0,0.33324677
305,0,0,0.24052395
310,1,0,0.31402922
312,1,1,0.5804189
338,0,0,0.032165196
342,0,0,0.38896373
349,0,0,0.24296403
352,1,1,0.80201876
355,0,0,0.32548046
357,0,0,0.03818231
366,1,1,0.7035575
371,1,0,0.176619
372,0,0,0.23961855
375,0,0,0.19650173
377,1,1,0.51108307
389,0,0,0.23005088
390,1,1,0.6836361
398,0,0,0.15871245
403,0,0,0.0071835024
412,0,1,0.47353044
414,0,0,0.007885329
416,0,0,0.20037775
418,0,0,0.38727105
424,0,0,0.29310995
427,0,1,0.67855364
431,0,0,0.24669069
432,0,0,0.3449289
