X_test,y_test,y_pred,y_pred_proba
13,2,1,0.67642
15,1,1,0.63549286
18,1,1,0.6774317
20,1,1,0.70956457
21,1,1,0.6810088
22,1,1,0.6758069
26,0,1,0.49245167
30,2,1,0.6817659
35,2,1,0.6736178
40,2,1,0.677965
52,0,0,0.14222443
53,0,0,0.14224532
54,1,1,0.65963995
67,1,1,0.6839179
69,1,1,0.6675817
70,2,1,0.6567142
73,0,0,0.14191128
78,1,1,0.54981995
88,1,1,0.6694631
93,0,0,0.14222443
104,1,1,0.6827928
107,1,1,0.7076515
108,1,1,0.6851864
115,0,0,0.14224532
120,2,1,0.6750848
122,1,1,0.67528754
123,2,1,0.67581725
127,1,1,0.6726652
130,0,0,0.14224532
132,1,1,0.64887583
134,1,1,0.617173
137,1,1,0.6809181
141,1,1,0.6505997
143,1,1,0.68278855
144,0,0,0.26180395
148,1,1,0.6318808
149,1,1,0.6559888
152,1,1,0.69356596
158,1,1,0.61631405
159,2,1,0.63233703
164,0,0,0.14224532
171,1,1,0.67006296
172,1,1,0.67750305
176,1,1,0.7018511
182,1,1,0.704053
189,1,1,0.7088476
197,1,1,0.6787905
205,1,1,0.6722621
211,2,1,0.67046887
235,1,1,0.65274745
240,1,1,0.70522976
241,0,0,0.14224532
245,0,0,0.16026634
248,1,1,0.67285764
249,1,1,0.6815922
253,1,1,0.69422436
254,1,1,0.67226857
257,1,1,0.6701615
258,1,1,0.670592
267,0,0,0.15024695
270,1,1,0.6653294
272,1,1,0.6810338
276,1,1,0.65378
278,1,1,0.6762382
280,1,1,0.67076087
287,1,1,0.6797027
294,1,1,0.68742913
295,1,1,0.6861335
302,1,1,0.66186905
305,1,1,0.6670261
310,1,1,0.7055471
312,1,1,0.67373145
338,0,0,0.16610412
342,1,1,0.68490285
349,1,1,0.68451923
352,1,1,0.6713385
355,1,1,0.6853046
357,0,0,0.1859417
366,1,1,0.67504025
371,1,1,0.66801715
372,1,1,0.6650013
375,1,1,0.69124466
377,1,1,0.6896
389,1,1,0.6706271
390,1,1,0.6849163
398,1,1,0.66166204
403,0,0,0.14224532
412,1,1,0.68758804
414,0,0,0.14222443
416,1,1,0.6699255
418,1,1,0.6683024
424,1,1,0.596144
427,1,1,0.6753398
431,1,1,0.70585054
432,1,1,0.69315416
433,1,1,0.67675
435,1,1,0.67564523
436,1,1,0.6757936
438,0,0,0.16081147
450,1,1,0.661688
453,1,1,0.673177
461,1,1,0.6360683
468,0,0,0.16278192
472,1,1,0.694227
480,1,1,0.6729068
481,1,1,0.6514104
483,0,0,0.17410779
491,1,1,0.5997226
492,1,1,0.6720141
495,1,1,0.7080408
497,1,1,0.7016181
500,1,1,0.6853203
505,0,0,0.15957908
509,0,0,0.16049726
513,1,1,0.70788974
517,1,1,0.6686886
520,1,1,0.6699013
524,1,1,0.6870165
526,1,1,0.68338966
530,1,1,0.68960214
531,1,1,0.69079286
534,1,1,0.6982616
535,1,1,0.68966293
536,0,0,0.16025141
541,0,0,0.17355075
546,1,1,0.6813929
566,1,1,0.6176375
569,0,0,0.14224532
573,1,1,0.6704561
574,1,1,0.67374104
581,1,1,0.68159527
592,1,1,0.6761571
603,1,1,0.67906255
611,1,1,0.66462946
620,1,1,0.6742148
621,1,1,0.67244476
622,1,1,0.6816336
625,1,1,0.707833
640,1,1,0.66795605
644,1,1,0.6763193
645,1,1,0.6674752
651,1,1,0.66051304
653,0,0,0.14224532
655,1,1,0.67913353
666,1,1,0.6795821
671,1,1,0.68989116
678,1,1,0.69763154
683,1,1,0.6791651
687,1,1,0.6831824
690,0,0,0.15536067
691,0,0,0.14224532
695,1,1,0.6838117
706,0,0,0.14224532
713,1,1,0.6897161
722,1,1,0.6744055
730,1,1,0.6358641
731,1,1,0.7049478
735,1,1,0.6859768
736,0,0,0.16138604
738,1,1,0.6783997
752,1,1,0.67534995
760,1,1,0.6926613
765,1,1,0.69064564
768,0,0,0.14224532
772,0,0,0.16350965
774,1,1,0.68413293
776,1,1,0.656643
785,1,1,0.6903743
786,0,0,0.16610648
801,1,1,0.70102525
803,1,1,0.71215236
806,0,0,0.1525628
815,1,1,0.68940896
822,1,1,0.6751418
830,1,1,0.67159927
831,1,1,0.6870072
832,1,1,0.6916332
833,1,1,0.6790378
834,1,1,0.68259346
844,1,1,0.6718277
845,1,1,0.678953
853,0,1,0.47326368
861,1,1,0.69424826
863,0,0,0.14222443
886,1,1,0.67755926
895,1,1,0.6873147
900,1,1,0.6927353
905,1,1,0.65145385
907,0,0,0.14249736
908,1,1,0.6778441
914,1,1,0.6768256
916,1,1,0.67729425
924,1,1,0.69648504
925,0,0,0.1548002
927,1,1,0.70876324
928,1,1,0.6899769
933,1,1,0.66918486
940,1,1,0.66269624
