X_test,y_test,y_pred,y_pred_proba
0,0,0,2.1300497e-05
1,1,1,0.76400965
3,1,1,0.7793113
5,1,1,0.92574626
6,1,4,0.18115744
8,1,1,0.92126966
14,4,4,0.21199302
16,4,4,0.39832234
31,1,1,0.82990736
42,5,5,0.00040942678
44,4,1,0.53092724
47,4,1,0.6674722
50,4,4,0.11558458
57,1,1,0.49156442
61,1,1,0.89825505
64,1,1,0.8844716
80,0,0,1.3739052e-05
92,1,1,0.8100991
96,1,1,0.8762594
112,4,4,0.4250169
125,4,4,0.12068537
126,4,4,0.07260953
142,4,4,0.20717882
154,4,1,0.57110643
155,1,1,0.9263815
169,1,1,0.5315999
174,1,1,0.9847894
180,4,4,0.14463018
192,1,1,0.7692117
193,6,6,1.5101455e-05
196,4,4,0.4108561
204,4,1,0.58150333
208,1,1,0.8560462
213,1,1,0.8056199
218,3,3,0.0005352077
224,4,4,0.13076279
225,1,4,0.40763143
230,1,1,0.72859895
261,4,4,0.09975389
262,1,1,0.8349697
281,4,4,0.21945171
285,4,4,0.038089834
286,4,4,0.09887909
300,4,4,0.09848124
318,4,4,0.41333312
322,1,1,0.8949951
323,1,1,0.90299076
327,1,1,0.6604076
331,4,4,0.0893503
332,1,1,0.87819535
336,4,4,0.4646976
337,1,1,0.9807705
339,2,4,0.33095586
341,2,2,0.19286457
343,1,1,0.9577674
345,4,1,0.5377631
348,0,0,1.5366066e-05
356,1,1,0.98202413
358,1,4,0.24450009
365,4,4,0.13878767
367,1,4,0.48465675
368,1,1,0.6014481
385,4,4,0.45247638
386,4,4,0.44632527
388,4,4,0.0888828
391,5,5,0.00189732
401,1,1,0.9818611
408,1,1,0.990413
410,4,4,0.26113945
411,4,4,0.07625842
413,3,3,0.014202301
419,1,1,0.9814632
420,4,4,0.35345793
425,4,4,0.11857926
428,3,3,0.00023610226
429,0,0,1.8898005e-05
440,4,4,0.24080233
441,1,1,0.9732641
442,5,5,0.0008401542
451,4,4,0.05775409
454,4,4,0.41275734
458,4,1,0.7266936
463,6,6,1.630051e-05
465,4,4,0.48886868
466,1,1,0.6520496
470,4,4,0.23993847
475,1,1,0.77609473
485,4,4,0.2884279
496,0,0,1.533652e-05
499,1,1,0.86143196
503,4,4,0.1568759
504,1,1,0.8547786
514,4,1,0.5121616
529,1,1,0.6627131
547,1,1,0.7604615
549,1,1,0.98634064
550,3,3,0.00013173127
556,1,1,0.9136135
558,4,4,0.38662633
559,4,4,0.11084855
562,4,1,0.8379418
565,4,4,0.38250846
567,4,4,0.22750159
570,1,4,0.32579556
577,4,1,0.5489359
579,5,5,0.013006662
583,5,5,0.0006545339
584,4,4,0.19040212
585,1,1,0.7670068
586,4,4,0.06636746
588,4,1,0.69876003
595,4,4,0.32742137
598,4,4,0.49523604
600,1,1,0.981191
601,5,5,0.015481943
605,4,4,0.13652542
608,0,0,1.8288682e-05
612,1,1,0.7237837
617,1,1,0.8197155
650,2,2,0.28653196
654,4,1,0.54967314
656,4,4,0.21270171
661,3,3,0.0001309549
674,3,3,0.0001400207
676,1,1,0.6615976
680,1,1,0.9125406
685,1,1,0.87111133
686,1,1,0.6110976
692,4,4,0.34997463
703,4,4,0.15524746
704,4,4,0.25145975
708,1,1,0.82632285
710,1,4,0.4672368
715,4,4,0.28549153
720,1,1,0.94603
721,4,4,0.13037188
734,4,1,0.75071156
737,4,4,0.103146136
754,4,4,0.29204023
755,4,4,0.30291468
756,6,6,1.5301155e-05
762,4,4,0.36143708
790,5,5,0.07650345
793,4,1,0.787305
796,1,1,0.70075756
809,1,1,0.75425494
811,4,1,0.71787524
817,1,1,0.7867624
820,1,1,0.8984949
825,4,4,0.16461372
838,4,4,0.37248704
842,1,1,0.9383669
852,2,2,0.008745629
856,4,4,0.40648347
866,2,2,0.32083485
867,4,1,0.5173449
868,1,1,0.9710079
870,4,1,0.7370147
878,1,2,0.23618087
889,4,4,0.11586506
897,5,5,0.0009137376
901,5,5,0.0001740964
903,1,1,0.5788398
913,4,4,0.07908211
915,4,1,0.5269114
917,4,4,0.2181844
921,4,1,0.58047134
929,1,1,0.86021185
934,1,1,0.7696602
937,1,1,0.5745819
939,2,4,0.42073217
945,2,2,0.24197824
948,4,1,0.5344942
949,5,5,0.0063885627
950,4,4,0.3862547
952,1,4,0.4860098
954,1,1,0.80015683
955,1,1,0.74613416
956,1,1,0.95678866
965,5,5,0.0048118974
966,4,4,0.19442603
975,4,1,0.7893784
