X_test,y_test,y_pred,y_pred_proba
3026,0,0,0.09749523
816594,1,1,0.83523256
68890,1,1,0.87969095
533316,0,0,0.0021027343
306547,0,0,0.3371577
848633,1,1,0.91750443
570163,0,0,0.35182425
409980,0,1,0.7035053
773997,0,0,0.25034082
112977,0,1,0.81997406
659665,1,1,0.79780734
323530,0,0,0.4327649
167784,0,1,0.8676356
174594,1,1,0.7231529
719304,1,1,0.7155805
865252,0,0,0.0048090382
443052,0,0,0.007204552
865994,1,1,0.63490844
382236,0,0,0.2095281
645880,0,0,0.2907355
191751,0,0,0.2224182
341963,1,1,0.5064197
579467,0,0,0.2670939
645926,0,0,0.2561968
198175,0,0,0.3571552
228787,1,1,0.894414
382060,1,0,0.341641
272460,0,0,0.20369065
785727,1,0,0.35407293
697287,0,0,0.17653951
599840,0,0,0.31018654
4137,0,0,0.32332253
3600,0,1,0.7871516
574873,1,0,0.2206439
769822,0,0,0.28358495
14149,0,0,0.16061752
16007,0,0,0.41760263
454556,0,0,0.0019526784
144791,0,0,0.14075217
78650,1,1,0.8220219
458495,1,1,0.74988866
45213,0,0,0.3458586
352708,1,1,0.76428914
267452,0,0,0.23467599
43037,1,1,0.886127
697650,1,0,0.47087964
407173,0,0,0.3650572
559230,1,1,0.8754796
544665,0,0,0.33770892
348365,0,0,0.23617072
111474,0,0,0.00013100421
158219,0,0,0.27354684
674007,2,0,0.0016943341
124751,2,0,0.003461913
687975,1,1,0.8378977
868962,0,0,0.2186998
317613,0,0,0.3502066
521185,1,0,0.19969986
665529,1,0,0.31685054
160424,0,0,0.3052409
353087,4,0,0.09225667
866381,0,0,0.42934412
623462,1,1,0.6868762
86697,3,1,0.6154964
598379,0,0,0.19039899
174612,0,0,0.25949296
171358,0,0,0.4213447
55288,0,0,0.000760283
348800,1,0,0.19526014
285200,0,0,0.14478159
781209,1,1,0.9226571
85619,0,0,0.00856891
687403,0,0,0.3264397
47779,0,1,0.6472645
719519,0,0,0.33094475
6809,0,0,0.44787526
469141,1,0,0.30182445
591588,2,2,0.002254163
452827,0,0,0.3140956
173538,0,1,0.844499
693837,0,0,0.16552222
184278,3,0,0.0031623328
47727,0,0,0.30080122
336103,1,0,0.16869159
534514,1,1,0.7243854
349868,1,0,0.3958586
458428,0,0,0.10689709
112399,0,0,0.11533024
573870,1,1,0.7608565
770822,0,0,0.0020819376
673083,0,1,0.551764
490087,0,0,0.41738442
235274,0,0,0.12801078
302530,0,0,0.0003587049
344952,0,0,0.18847685
131283,0,0,0.015091503
750249,1,1,0.5462023
789436,0,0,0.00032123353
193943,1,1,0.7425681
393133,0,0,0.23443252
702721,0,0,0.001380818
787242,0,0,0.27463543
559472,0,0,0.14089963
462601,0,0,0.1496452
670064,1,1,0.73088956
502849,0,0,0.2999215
760745,0,0,0.10817771
694168,1,1,0.71833956
271311,0,0,0.0015155324
482885,0,0,0.3717352
212343,0,1,0.70960623
92440,0,0,0.0002056207
574225,4,6,0.0010849279
753901,0,0,0.0032817482
428985,1,1,0.69554305
609707,1,0,0.17617197
854393,1,0,0.49567452
277332,0,1,0.7164261
530071,1,1,0.8515092
796859,1,1,0.61010355
178652,1,0,0.43694356
495003,1,0,0.30510166
767530,1,0,0.49667495
463876,4,0,0.13363224
850846,0,0,0.38754115
278837,0,0,0.25204036
855230,1,0,0.17757948
293608,0,0,0.0038909682
347608,0,0,0.00039353853
258976,0,0,0.00016295373
630499,1,0,0.31269512
691540,1,0,0.40491667
466594,0,0,0.0017138167
786093,1,0,0.29048792
505328,0,0,0.29273236
399897,0,0,0.24844028
381274,0,0,0.00011845562
710821,1,0,0.3219182
291603,0,0,0.00047198948
578350,0,0,0.41312644
158645,0,0,0.46587855
88721,0,0,0.26149252
289094,1,0,0.32000005
694488,1,1,0.8341637
272353,1,0,0.2240316
622816,1,0,0.12629475
203111,0,0,0.00011062958
657213,1,1,0.86813045
867942,1,0,0.2935859
270205,0,0,0.33857584
848883,0,0,0.002608022
729175,0,0,0.0001076941
610888,0,1,0.51036644
226110,0,0,0.06900388
469418,0,0,0.3462772
218556,0,0,0.35207486
841631,0,1,0.5321266
793885,0,0,0.00185139
744715,0,0,0.30431753
687659,0,0,0.22705545
605960,1,0,0.44225654
421803,4,0,0.12589158
719436,0,0,0.15150994
468352,1,1,0.8563086
616424,3,3,0.0056631146
231798,0,1,0.59530973
838514,0,0,0.4787232
104922,0,0,0.14945346
186498,0,0,0.3857906
238834,0,0,0.0018482672
319326,0,0,0.2970529
796289,0,0,0.20542945
54565,0,0,0.16045706
355469,0,0,0.0042950925
9544,0,0,0.33653042
833810,1,0,0.096702136
174622,0,0,0.22433282
102727,0,0,0.21895193
92160,1,1,0.7880732
380708,0,0,0.00012430425
536336,1,0,0.35427
770633,1,1,0.94958425
511344,0,0,0.36270115
816904,1,0,0.4669816
730857,1,0,0.28048772
328865,1,1,0.85908145
70998,0,0,0.28025836
445945,0,0,0.11055805
281936,0,1,0.6505078
756918,2,0,0.0034742353
590318,0,1,0.5436757
862739,0,0,0.23908368
685285,1,0,0.31974936
369331,0,0,0.21230538
228692,0,0,0.3662951
469143,0,0,0.00021627417
784620,0,0,0.25637618
32825,0,1,0.5880845
718572,1,0,0.28160557
180958,0,0,0.4516479
535838,1,1,0.7482064
552142,0,0,0.00901974
281435,0,0,0.25566873
231852,0,0,0.0001318979
801763,0,0,0.0015389997
406159,0,0,0.16316776
474423,0,0,0.0019058897
717851,0,0,0.14855081
826136,0,0,0.21884395
158533,0,0,0.24484468
756883,0,0,0.0072380286
541510,1,0,0.43291253
211149,0,0,0.28608018
471129,0,0,0.108563125
723902,0,0,0.11636205
312207,1,1,0.7448773
364507,0,0,0.13873647
274938,0,0,0.16112828
370410,0,0,0.0004589354
315762,0,0,0.36947286
835531,1,1,0.6640221
109711,0,0,0.2856652
24513,0,0,0.27896044
397453,0,0,0.357732
639500,1,0,0.26265356
816326,0,1,0.90098274
495416,0,0,0.41059825
857932,1,1,0.68283904
495285,0,0,0.010498278
56712,0,0,0.19628799
437767,1,0,0.3363841
37645,1,1,0.76739556
587955,1,1,0.77101743
269100,1,1,0.7956985
443673,1,1,0.8899207
170449,1,0,0.37428665
24830,0,0,0.0010242123
395208,0,0,0.26367122
190367,3,0,0.0022530283
558544,0,0,0.2238496
332448,0,0,0.34915257
436885,4,0,0.19883914
120650,1,1,0.8977892
46459,0,1,0.623952
571991,1,1,0.8663542
292989,0,0,0.14723335
481793,1,1,0.76382655
512661,0,0,0.20957719
255731,0,0,0.27289802
324154,0,0,0.21205054
680409,0,0,0.25430816
681827,1,0,0.32294276
104237,0,0,0.15055276
69487,0,0,0.09683636
366326,0,0,0.0001717292
75285,0,1,0.83676505
154709,0,0,0.25959924
26167,0,1,0.80219716
587916,1,1,0.6530884
426260,0,0,0.21963961
361424,0,0,0.10196631
555562,0,0,8.591735e-05
104198,0,1,0.7323726
549043,0,0,0.209322
768170,1,0,0.1479155
399863,0,0,0.19058692
122178,0,1,0.84000003
573598,0,0,0.0930706
387584,4,0,0.31208935
186287,0,1,0.56583047
830434,0,0,0.44939294
506514,0,0,0.15842977
175115,0,0,0.00382459
145686,0,0,0.1585016
194561,0,0,0.00015687954
533103,1,1,0.78997403
633517,0,0,0.24767677
13462,1,1,0.8153165
657772,1,1,0.69487226
280671,0,0,0.14786115
619001,0,0,0.37354746
485761,0,0,0.36903074
723735,1,0,0.33022824
824871,0,0,0.00021460191
276593,0,0,0.0029875608
42911,0,1,0.81909
317840,0,0,0.21443765
543045,0,1,0.5448972
821655,0,0,0.42707634
369714,0,1,0.5428684
842030,0,0,0.0008296444
846894,1,1,0.62459385
62770,0,1,0.488616
246475,0,0,0.38419378
141430,0,1,0.509
311077,0,1,0.8450868
565611,0,0,0.000120010045
55499,0,0,0.30138603
753460,0,0,0.22121729
434375,1,1,0.8849871
91679,0,0,0.0030148693
766664,0,0,0.3357221
726313,1,1,0.91882527
623302,1,0,0.42808425
127361,0,0,0.22069257
615375,1,1,0.76557946
401456,0,0,0.1238723
592378,0,0,0.16314587
476123,4,0,0.21380183
573246,1,0,0.30867177
815073,0,0,0.31224117
466779,1,1,0.7879037
848038,1,0,0.18321551
636181,1,0,0.42492267
548384,0,0,0.0018992797
29097,0,1,0.8447943
385315,1,1,0.8359451
166440,1,1,0.5678419
605005,1,1,0.8720288
519468,1,0,0.109405525
707566,1,1,0.6195699
640903,1,1,0.8218466
396759,0,0,0.21250713
500211,1,0,0.3283802
296393,1,0,0.24480948
332773,0,0,0.08685238
283749,1,0,0.41637632
242964,0,0,0.26762897
594034,1,0,0.19596632
863346,1,1,0.76771134
617460,1,1,0.77399313
200657,1,0,0.33007696
331151,1,1,0.868806
292975,0,1,0.5910874
737584,1,0,0.2813892
596880,1,1,0.87218183
732816,0,0,0.28651854
510843,1,1,0.8761615
409015,0,0,0.27416354
826884,1,1,0.60888267
471648,1,1,0.5796491
316480,0,0,0.43849796
329410,0,0,0.27451834
359741,1,1,0.7460819
733359,0,0,0.12752879
506171,0,0,0.0050381147
405782,1,1,0.7819848
262254,0,0,0.30481452
585431,0,0,0.0017372342
116252,0,0,0.31033826
367641,0,0,0.00010779354
468318,1,1,0.7410409
261338,0,0,0.00037385273
300232,0,0,0.00015000068
801565,1,1,0.53941023
760521,1,0,0.42506054
831804,0,0,0.28865057
848689,0,0,0.0007719023
451896,3,0,0.0029964854
397023,0,0,0.38233706
666811,1,0,0.22328793
791762,0,0,0.020261496
192608,0,0,0.42859203
58410,0,0,0.18185966
282954,0,0,0.15096904
588202,0,0,0.20007615
463047,0,0,0.0074872957
728834,0,0,0.28232867
417094,0,0,0.23910972
852008,1,1,0.5880931
151206,0,0,0.00018564926
219775,0,0,0.49737105
545346,0,0,0.00031033653
838759,0,0,0.00023530691
