X_test,y_test,y_pred,y_pred_proba
199496,1,1,0.9948086
62873,1,1,0.99500644
784931,1,1,0.9584825
708351,1,1,0.97182786
731884,1,1,0.8841594
707671,0,0,4.3780332e-05
503266,1,1,0.992431
153744,1,1,0.9860006
677264,1,1,0.9842471
692449,1,1,0.87650317
310614,1,1,0.94162124
390137,1,0,0.28333864
543803,0,0,0.000771925
521427,0,0,4.3605844e-05
823076,1,1,0.955005
289260,1,1,0.97554773
752715,1,1,0.9837105
618528,1,1,0.90295273
327766,1,1,0.978965
766427,0,0,4.7051515e-05
825554,1,1,0.99861515
437081,1,1,0.9314309
559774,1,1,0.98412216
12094,1,1,0.975749
256002,1,1,0.95441735
139907,1,1,0.99004817
562290,1,1,0.8754623
867235,0,0,0.00044736118
679373,0,0,0.0007427718
562538,1,1,0.9568022
708539,1,1,0.9568143
117257,0,0,3.8212333e-05
439229,1,1,0.9853137
528559,0,0,0.00024551273
195209,1,1,0.9028036
552668,0,0,0.0005554986
166555,0,0,0.0005009283
278958,1,1,0.98555505
497415,0,0,0.00037590618
526419,2,1,0.881451
622464,1,1,0.9322401
385153,1,1,0.950397
779807,1,1,0.955054
576101,1,1,0.9584575
618772,1,1,0.9739897
611483,1,1,0.9428573
382289,1,1,0.902378
727067,1,1,0.9454698
163616,1,1,0.93382597
448456,1,1,0.9937211
495583,2,1,0.8938574
362985,1,1,0.92065686
661075,1,1,0.83419424
242213,1,1,0.92947125
488445,1,1,0.83825433
44622,1,1,0.9529376
806991,1,1,0.90900785
388857,1,1,0.79703283
121652,0,0,0.0037969511
430791,1,1,0.9633036
681804,1,1,0.9824623
183471,1,1,0.92461425
618571,1,1,0.85643435
201051,1,1,0.8792188
128768,1,1,0.91429
589625,1,1,0.9806104
39452,1,1,0.9837276
297584,1,1,0.950174
368092,0,0,0.00093032885
697483,1,1,0.99495184
719717,1,1,0.9332993
594282,1,1,0.90645254
585033,1,1,0.948583
198043,1,1,0.99748296
106360,1,1,0.9892866
357946,1,1,0.96523064
252671,1,1,0.9302154
150395,0,0,3.6581132e-05
451978,1,1,0.98774534
268851,1,1,0.61269414
182821,1,1,0.96058774
31128,1,1,0.97076875
246825,1,1,0.9379639
417594,0,0,5.6879275e-05
315526,1,1,0.99767405
379746,1,1,0.9825784
728857,1,1,0.84619546
1025,1,1,0.98826945
859124,1,1,0.9931809
778896,1,1,0.9550654
756685,1,1,0.91194427
769303,1,1,0.9426598
582162,1,1,0.9765885
719107,1,1,0.9748598
718751,2,1,0.9931009
120179,1,1,0.96966815
261118,1,1,0.9265878
1593,1,1,0.99383473
730540,1,1,0.9899122
367669,1,1,0.99946016
362219,1,1,0.9840845
210915,1,1,0.9565927
214290,1,1,0.95907116
337670,1,1,0.9575406
63763,1,1,0.91811144
359531,1,1,0.95653933
696040,1,1,0.94943655
426136,1,1,0.9928625
618233,1,1,0.8587263
604618,1,1,0.78859615
753694,0,0,3.6209818e-05
33919,1,1,0.99750656
848891,1,1,0.9662022
612610,2,1,0.8660811
844984,1,1,0.9315099
239603,1,1,0.8878789
869769,1,1,0.9350072
235814,2,1,0.9408276
373204,1,1,0.9488577
257296,1,1,0.99392575
671426,1,1,0.96148914
