X_test,y_test,y_pred,y_pred_proba
423851,1,1,0.74807763
843628,1,4,0.4291914
229321,1,1,0.86351305
92710,5,5,0.0060239052
75048,1,4,0.42435014
217574,4,4,0.12559655
299727,4,4,0.14432198
761673,3,3,0.0008307752
1746,4,4,0.20291737
480929,1,1,0.8152343
365091,1,1,0.92251956
380613,1,1,0.9685291
201325,4,1,0.5814697
131859,0,0,0.00016968483
813106,4,4,0.117305495
242515,4,4,0.23878177
214495,1,1,0.8237539
768376,1,1,0.73405105
421757,1,1,0.67893434
168464,0,0,0.00016086336
400109,1,1,0.6513837
631538,3,3,0.0008657389
310496,1,1,0.9784878
315072,1,1,0.76535267
445160,5,5,0.0022399458
125875,4,1,0.7116202
726102,4,4,0.15410495
216814,5,5,0.008977141
206312,4,4,0.21547177
165876,4,4,0.2677637
689863,6,6,0.00016595045
567337,1,1,0.9570451
374124,0,0,0.0001587721
420833,1,1,0.9158357
857433,1,1,0.7241772
808442,4,4,0.17638153
759849,6,6,0.00016865644
315621,1,1,0.68561363
637484,1,1,0.75568783
174304,1,1,0.7442348
195604,1,4,0.20639409
522522,1,4,0.4428299
499955,5,5,0.0011959372
545305,1,1,0.5183528
337455,1,1,0.8320199
848579,1,1,0.6762754
30668,1,1,0.91935897
487960,1,1,0.7703083
704365,1,1,0.9006667
392393,6,6,0.00015765699
815644,1,1,0.9746357
819787,1,1,0.930333
193231,1,1,0.85270566
459612,0,0,0.00016501397
532391,4,1,0.40127468
540612,4,4,0.46612307
246646,3,3,0.0020250527
673468,1,1,0.97541785
85209,3,3,0.015782444
642545,2,1,0.7171478
268042,1,1,0.6252408
684012,1,1,0.97679627
273837,1,1,0.7437928
182107,4,4,0.0757757
611897,1,1,0.62766236
298532,3,3,0.0014149401
97918,1,1,0.85608625
468860,1,1,0.66975176
423278,1,1,0.95474106
820825,1,1,0.93369603
84865,4,4,0.09466169
283955,1,1,0.533624
685933,1,1,0.8771531
666471,4,1,0.66082156
492205,4,4,0.09179095
184062,4,1,0.83038753
547823,2,1,0.7885581
802848,1,1,0.5801461
764810,1,1,0.85937417
747655,1,1,0.96914566
184807,1,1,0.75375974
608995,2,2,0.08432912
304814,0,0,0.0001651309
759368,1,1,0.94084173
307944,1,1,0.6551077
535596,1,1,0.89713675
344414,4,4,0.15370546
386747,4,1,0.640958
128327,2,2,0.32195407
756807,1,1,0.7329559
59206,1,1,0.9763516
453198,6,6,0.00017265722
154453,1,1,0.5019552
715009,2,2,0.15724416
194553,1,1,0.6235732
688833,4,4,0.41088128
285428,4,1,0.78249395
525585,3,3,0.0011329959
705604,2,2,0.2988212
218597,1,1,0.5411167
397545,1,1,0.8233523
149904,0,0,0.00014820883
471190,0,0,0.00015005827
366324,1,1,0.86182827
25349,5,5,0.0013120918
541675,1,1,0.6099551
851400,1,1,0.7196799
757808,1,1,0.9415201
322826,5,5,0.0020135283
733329,3,3,0.0007736899
833968,1,1,0.7554396
796356,4,4,0.40158764
578389,4,4,0.35198727
857118,1,1,0.7032527
449949,1,1,0.77451116
515376,1,1,0.9695291
239120,1,1,0.8720926
94730,1,1,0.9440357
13076,1,1,0.9725141
237672,4,1,0.6350859
734274,4,1,0.7900734
647161,1,1,0.8731309
784291,1,1,0.730699
309019,0,0,0.00016027079
412048,3,3,0.00452966
560098,1,1,0.9228109
102129,6,6,0.00016250856
640915,1,4,0.22952037
228364,1,1,0.8861931
834699,4,4,0.14822944
727282,4,1,0.788351
112055,1,1,0.78430164
213251,4,4,0.17129654
550456,0,0,0.00016787909
591645,1,4,0.26237306
678312,1,1,0.6280348
239989,4,1,0.7672937
265673,5,5,0.0010895925
642623,1,4,0.16255867
728281,1,4,0.3644183
855625,1,4,0.09960916
231110,1,1,0.97300714
387738,4,1,0.6139665
254984,4,4,0.11060156
579725,1,1,0.82339406
155316,1,1,0.8636915
829640,3,3,0.29140234
376124,1,1,0.7249187
666631,1,1,0.786812
516971,1,4,0.15352237
869817,1,1,0.97205126
864740,4,1,0.758007
865650,1,4,0.36167642
605519,1,1,0.730328
214071,1,1,0.8878313
398986,4,4,0.3663894
508983,1,1,0.9717148
719819,4,4,0.46728763
509136,1,1,0.9080243
864039,4,4,0.23555526
77440,4,4,0.2671363
312000,0,0,0.00018321411
482068,6,6,0.00016568517
637702,4,4,0.0803044
100119,1,1,0.8377933
649543,4,4,0.12707087
817958,4,4,0.48355135
733811,4,4,0.14865483
853216,4,4,0.10714951
147598,1,1,0.94733864
427530,1,1,0.51480716
175803,1,1,0.7758345
741723,1,4,0.13556752
799553,4,1,0.85708326
40948,4,4,0.23468645
449276,1,1,0.7735057
767251,5,5,0.012249155
66103,1,1,0.74778306
488106,4,4,0.18533039
817719,1,1,0.934577
762236,4,2,0.17558092
282045,4,4,0.4474494
244235,4,4,0.17374305
274325,1,1,0.8597779
869279,4,4,0.10317468
648210,1,1,0.77297103
568321,1,4,0.15223569
90221,4,1,0.7124935
409118,1,1,0.9793465
246358,1,1,0.7765836
643905,1,1,0.68007886
109877,5,5,0.00105098
321503,4,4,0.1784415
372894,1,1,0.8298919
59034,4,1,0.7313459
823362,1,1,0.798598
483889,1,1,0.8991382
753916,5,5,0.0025496685
266603,1,1,0.5596607
111039,1,4,0.32824767
596950,1,4,0.46886933
151419,1,4,0.122797415
570088,1,1,0.6908196
478183,4,1,0.55821437
440982,5,5,0.001989696
705735,4,1,0.79325503
160302,0,0,0.00017378939
837394,4,4,0.08067509
97417,4,4,0.4316256
442786,4,4,0.36245078
77200,1,4,0.4324167
482742,1,1,0.83227086
652523,4,1,0.74708956
59468,2,2,0.00994736
150080,4,4,0.25071695
447647,1,1,0.80231774
699161,0,0,0.00017358415
568220,4,4,0.122174665
589473,4,4,0.27034172
797934,4,4,0.35851026
428687,4,4,0.31435663
520206,5,5,0.0017172457
719021,1,4,0.16278914
571336,1,1,0.9191738
388586,1,1,0.9430927
311341,4,4,0.15941791
735702,1,1,0.6562438
290675,4,4,0.48896542
613741,4,4,0.11725687
423834,1,1,0.8382286
461390,5,5,0.0011141036
175197,5,5,0.001161146
199928,1,1,0.7573551
409784,1,1,0.9699129
506666,6,6,0.0001531384
258842,1,1,0.4459323
592512,8,8,0.008569795
663638,4,4,0.18183261
15823,1,1,0.76507825
61802,0,0,0.00016193494
379139,4,4,0.35305703
646046,3,3,0.0005612623
755817,1,1,0.5722829
719924,1,1,0.9604891
24028,1,1,0.9772996
150314,4,1,0.71299696
495876,1,1,0.707363
118404,1,1,0.7950007
311265,1,1,0.6182016
824474,1,1,0.6416948
706872,1,1,0.858802
149409,1,1,0.933413
765902,1,1,0.75190085
865710,1,1,0.7327972
141919,1,1,0.55053186
231440,9,4,0.3486489
481016,1,4,0.29191446
516988,1,4,0.4726376
38357,4,1,0.78059393
746276,1,1,0.7696375
582156,1,1,0.61427695
378512,4,4,0.36637598
25264,4,4,0.1167398
565408,1,1,0.72624946
494641,4,4,0.10134451
495185,3,3,0.0008954657
865319,0,0,0.00016814777
495613,6,6,0.00016933527
421619,1,1,0.9238149
279418,1,4,0.47112292
582054,4,1,0.64893836
116800,1,1,0.8348013
756367,4,4,0.12774678
244643,0,0,0.00015782783
221341,4,1,0.58703965
659303,4,4,0.37907726
417887,4,4,0.32215732
197864,3,3,0.0010342299
714745,4,1,0.8488869
461006,1,1,0.83213985
429167,1,1,0.7425273
412399,1,4,0.39970914
298788,4,1,0.76786727
537043,1,1,0.96138126
569335,4,4,0.08966308
470927,3,2,0.019904047
221110,4,4,0.13247108
64954,1,1,0.6036633
788392,0,0,0.00016298456
731885,4,4,0.2627491
752403,1,1,0.7967032
432626,3,3,0.0009721841
51881,4,4,0.117983304
771165,1,1,0.7699619
63677,4,4,0.07807008
635339,4,1,0.556388
351211,1,4,0.22229244
581686,4,4,0.050694086
193574,5,5,0.0014202548
411089,4,1,0.7938662
172930,5,5,0.0012027503
224381,1,1,0.7421119
727731,1,1,0.80797684
421374,1,2,0.10138926
742886,0,0,0.00017628106
390103,3,3,0.002171103
696697,4,4,0.09028283
356868,4,1,0.7968634
754675,1,1,0.91784674
743078,4,4,0.28462997
644773,1,4,0.485608
660017,4,4,0.15095186
206121,3,3,0.001362573
164939,4,4,0.30434626
292605,1,1,0.81662637
719508,1,1,0.5646703
305879,4,4,0.060283802
156264,1,1,0.63959116
546678,1,4,0.4209771
49515,1,4,0.2534858
853534,6,6,0.00017380597
648038,6,6,0.00016695884
298300,1,1,0.8177186
750787,4,4,0.350975
811797,1,1,0.5552925
697968,4,4,0.34138492
401460,4,4,0.19641942
40722,1,1,0.8863512
504342,1,1,0.8294465
724663,1,1,0.8744409
83549,5,5,0.0032294719
745528,1,4,0.3011347
593769,5,5,0.0010476132
635413,8,8,0.030278841
290441,1,1,0.78625095
824542,5,5,0.002111364
454715,4,4,0.10587098
594129,0,0,0.0001508888
738625,1,1,0.8711165
446654,4,4,0.23860851
219338,2,2,0.21697411
63742,0,0,0.0001605978
335330,1,1,0.60196096
652414,1,1,0.8036327
269338,1,1,0.86419183
92480,2,1,0.745464
632844,1,4,0.10945483
570338,4,4,0.47070768
737253,4,4,0.46803993
735987,1,1,0.93664557
650194,1,1,0.48110333
527458,1,4,0.23305516
34597,4,4,0.06470377
183933,1,1,0.5472687
179244,1,4,0.3631037
142153,4,4,0.133309
768451,4,4,0.09571669
695253,1,1,0.7465753
55904,4,4,0.16841352
515089,1,1,0.59411204
261302,0,0,0.0002185453
123505,1,1,0.8381679
630776,1,1,0.8090961
344480,1,1,0.73344326
549518,4,1,0.7340582
153414,1,1,0.7701081
513047,1,1,0.8202643
466853,1,1,0.8454984
794377,1,1,0.9292624
570635,1,1,0.7415698
329768,1,1,0.9063015
85717,4,4,0.15540119
113666,4,4,0.14126417
324047,1,1,0.7797115
645671,1,1,0.91960484
488603,4,4,0.33513638
492255,4,1,0.69168526
505294,2,1,0.71155083
588375,4,1,0.72161263
864106,3,3,0.0020565568
75308,4,1,0.5500007
210696,4,1,0.504125
20607,4,1,0.673034
814541,4,4,0.27810615
250890,1,1,0.91829276
388875,1,4,0.4533527
38523,1,4,0.2938927
799594,5,5,0.0016750176
546191,1,1,0.8058438
94873,1,1,0.7870849
836309,5,5,0.0010362217
537042,1,1,0.8885964
116375,1,1,0.887941
